ResourceID,Date,DateFor,Author,Topic,Keywords,Rating,Format,isVerified
1,2025-11-15,2025-11-15,"Web Scraped","Main Page",NULL,5.0,Website,0
32219056,2025-11-15,2025-11-15,"khan accademy, lobster notes web scraper","Illustration of a fiber o",NULL,5.0,Image,0
48388489,2025-11-15,2025-11-15,"khan accademy, lobster notes web scraper","Illustration of a wireles",NULL,5.0,Image,0
54453910,2025-11-15,2025-11-15,"khan accademy, lobster notes web scraper","Illustration of an intern",NULL,5.0,Image,0
59505732,2025-11-15,2025-11-15,"mit ocw, lobster notes web scraper",image,NULL,5.0,Image,0
94615793,2025-11-15,2025-11-15,"khan accademy, lobster notes web scraper","Ahunt, Wikipedia",NULL,5.0,Image,0
151112571,2025-11-15,2025-11-15,"khan accademy, lobster notes web scraper","Student Guide  How do ste",NULL,5.0,Pdf,0
169679528,2025-11-15,2025-11-15,"mit ocw, lobster notes web scraper",image,NULL,5.0,Video,0
206504305,2025-11-15,2025-11-15,"mit ocw, lobster notes web scraper",image,NULL,5.0,Image,0
212969751,2025-11-15,2025-11-15,"khan accademy, lobster notes web scraper","Sir David Wilkie, Reading",NULL,5.0,Image,0
258552457,2025-11-15,2025-11-15,"mit ocw, lobster notes web scraper",image,NULL,5.0,Pdf,0
278871970,2025-11-15,2025-11-15,"mit ocw, lobster notes web scraper",image,NULL,5.0,Pdf,0
320797539,2025-11-15,2025-11-15,"khan accademy, lobster notes web scraper","Student Guide  How do ste",NULL,5.0,Pdf,0
331921087,2025-11-15,2025-11-15,"mit ocw, lobster notes web scraper",image,NULL,5.0,Video,0
390335955,2025-11-15,2025-11-15,"mit ocw, lobster notes web scraper",image,NULL,5.0,Pdf,0
431915540,2025-11-15,2025-11-15,"khan accademy, lobster notes web scraper","Specialized cells of the",NULL,5.0,Image,0
441917378,2025-11-15,2025-11-15,"khan accademy, lobster notes web scraper","Inventing America, Colt's",NULL,5.0,Video,0
476983658,2025-11-15,2025-11-15,"khan accademy, lobster notes web scraper",Zephyris,NULL,5.0,Image,0
478785320,2025-11-15,2025-11-15,"mit ocw, lobster notes web scraper",image,NULL,5.0,Video,0
480971355,2025-11-15,2025-11-15,"khan accademy, lobster notes web scraper","Human fertilization and e",NULL,5.0,Video,0
510446537,2025-11-15,2025-11-15,"mit ocw, lobster notes web scraper",image,NULL,5.0,Image,0
547957854,2025-11-15,2025-11-15,"mit ocw, lobster notes web scraper",image,NULL,5.0,Image,0
589654510,2025-11-15,2025-11-15,"khan accademy, lobster notes web scraper","Hustvedt, Wikipedia",NULL,5.0,Image,0
600721483,2025-11-15,2025-11-15,"khan accademy, lobster notes web scraper","Non-coding RNA (ncRNA) |",NULL,5.0,Video,0
609076112,2025-11-15,2025-11-15,"mit ocw, lobster notes web scraper",image,NULL,5.0,Video,0
624582847,2025-11-15,2025-11-15,"khan accademy, lobster notes web scraper","Teacher Guide  How do ste",NULL,5.0,Pdf,0
653511558,2025-11-15,2025-11-15,"khan accademy, lobster notes web scraper","Hustvedt, Wikipedia",NULL,5.0,Image,0
704608767,2025-11-15,2025-11-15,"khan accademy, lobster notes web scraper","Bidgee, Wikipedia",NULL,5.0,Image,0
708376023,2025-11-15,2025-11-15,"mit ocw, lobster notes web scraper",image,NULL,5.0,Video,0
796363749,2025-11-15,2025-11-15,"khan accademy, lobster notes web scraper","William Sidney Mount, Chr",NULL,5.0,Image,0
797007424,2025-11-15,2025-11-15,"mit ocw, lobster notes web scraper",image,NULL,5.0,Pdf,0
811304370,2025-11-15,2025-11-15,"khan accademy, lobster notes web scraper","Photo of a twisted pair c",NULL,5.0,Image,0
846075534,2025-11-15,2025-11-15,"khan accademy, lobster notes web scraper","Teacher Guide  How do ste",NULL,5.0,Pdf,0
846673582,2025-11-15,2025-11-15,"mit ocw, lobster notes web scraper",image,NULL,5.0,Video,0
849783179,2025-11-15,2025-11-15,"mit ocw, lobster notes web scraper",image,NULL,5.0,Video,0
862523128,2025-11-15,2025-11-15,"khan accademy, lobster notes web scraper",play.png,NULL,5.0,Image,0
897798305,2025-11-15,2025-11-15,"khan accademy, lobster notes web scraper","Photo of a wireless route",NULL,5.0,Image,0
898732491,2025-11-15,2025-11-15,"mit ocw, lobster notes web scraper",image,NULL,5.0,Video,0
913298987,2025-11-15,2025-11-15,"khan accademy, lobster notes web scraper","Cellular specialization (",NULL,5.0,Video,0
981518964,2025-11-15,2025-11-15,"mit ocw, lobster notes web scraper",image,NULL,5.0,Video,0
981776196,2025-11-15,2025-11-15,"mit ocw, lobster notes web scraper",image,NULL,5.0,Pdf,0
1026231397,2025-11-15,2025-11-15,"khan accademy, lobster notes web scraper","Photo of four workers han",NULL,5.0,Image,0
1049071830,2025-11-15,2025-11-15,"khan accademy, lobster notes web scraper","William Sidney Mount, Bar",NULL,5.0,Image,0
1084712044,2025-11-15,2025-11-15,"khan accademy, lobster notes web scraper",play.png,NULL,5.0,Image,0
1095315992,2025-11-15,2025-11-15,"khan accademy, lobster notes web scraper",play.png,NULL,5.0,Image,0
1123870259,2025-11-15,2025-11-15,"khan accademy, lobster notes web scraper","Exploding tradition, Whis",NULL,5.0,Video,0
1148612820,2025-11-15,2025-11-15,"mit ocw, lobster notes web scraper",image,NULL,5.0,Pdf,0
1190950811,2025-11-15,2025-11-15,"khan accademy, lobster notes web scraper","Activity packet  How do s",NULL,5.0,Pdf,0
1250857770,2025-11-15,2025-11-15,"mit ocw, lobster notes web scraper",image,NULL,5.0,Video,0
1286328928,2025-11-15,2025-11-15,"mit ocw, lobster notes web scraper",image,NULL,5.0,Video,0
1289504740,2025-11-15,2025-11-15,"mit ocw, lobster notes web scraper",image,NULL,5.0,Pdf,0
1362138227,2025-11-15,2025-11-15,"mit ocw, lobster notes web scraper",image,NULL,5.0,Video,0
1362635092,2025-11-15,2025-11-15,"khan accademy, lobster notes web scraper","Ahunt, Wikipedia",NULL,5.0,Image,0
1366952765,2025-11-15,2025-11-15,"mit ocw, lobster notes web scraper",image,NULL,5.0,Video,0
1418326543,2025-11-15,2025-11-15,"mit ocw, lobster notes web scraper",image,NULL,5.0,Image,0
1451816766,2025-11-15,2025-11-15,"mit ocw, lobster notes web scraper",image,NULL,5.0,Video,0
1483089617,2025-11-15,2025-11-15,"khan accademy, lobster notes web scraper","William Sidney Mount, The",NULL,5.0,Image,0
1532941537,2025-11-15,2025-11-15,"mit ocw, lobster notes web scraper",image,NULL,5.0,Video,0
1594767913,2025-11-15,2025-11-15,"mit ocw, lobster notes web scraper",image,NULL,5.0,Video,0
1604291664,2025-11-15,2025-11-15,"khan accademy, lobster notes web scraper",play.png,NULL,5.0,Image,0
1610595542,2025-11-15,2025-11-15,"khan accademy, lobster notes web scraper","Dreaming big, Thomas Cole",NULL,5.0,Video,0
1646042104,2025-11-15,2025-11-15,"khan accademy, lobster notes web scraper",Zephyris,NULL,5.0,Image,0
1669448818,2025-11-15,2025-11-15,"khan accademy, lobster notes web scraper","A photo of a coral reef w",NULL,5.0,Image,0
1727291049,2025-11-15,2025-11-15,"khan accademy, lobster notes web scraper","Heroes of modern surgery:",NULL,5.0,Video,0
1779146893,2025-11-15,2025-11-15,"mit ocw, lobster notes web scraper",image,NULL,5.0,Video,0
1783812224,2025-11-15,2025-11-15,"khan accademy, lobster notes web scraper","Amgen Foundation logo",NULL,5.0,Image,0
1816631147,2025-11-15,2025-11-15,"khan accademy, lobster notes web scraper","Photo of a fiber optic ca",NULL,5.0,Image,0
1826247970,2025-11-15,2025-11-15,"khan accademy, lobster notes web scraper","Activity packet  How do s",NULL,5.0,Pdf,0
1884948763,2025-11-15,2025-11-15,"mit ocw, lobster notes web scraper",image,NULL,5.0,Video,0
1921240632,2025-11-15,2025-11-15,"khan accademy, lobster notes web scraper","Photo of the end of a CAT",NULL,5.0,Image,0
1935580771,2025-11-15,2025-11-15,"mit ocw, lobster notes web scraper",image,NULL,5.0,Video,0
1936445397,2025-11-15,2025-11-15,"mit ocw, lobster notes web scraper",image,NULL,5.0,Pdf,0
1975555089,2025-11-15,2025-11-15,"khan accademy, lobster notes web scraper","Bidgee, Wikipedia",NULL,5.0,Image,0
1977049103,2025-11-15,2025-11-15,"khan accademy, lobster notes web scraper","Operons and gene regulati",NULL,5.0,Video,0
1977049104,2025-11-15,2025-11-15,"Web Scraped","Main Page",NULL,5.0,Website,0
1986436606,2025-11-15,2025-11-15,"mit ocw, lobster notes web scraper",image,NULL,5.0,Video,0
2065973986,2025-11-15,2025-11-15,"mit ocw, lobster notes web scraper",image,NULL,5.0,Video,0
2102296706,2025-11-15,2025-11-15,"mit ocw, lobster notes web scraper",image,NULL,5.0,Video,0
2102296707,2025-11-15,2025-11-15,"Web Scraped","Main Page",NULL,5.0,Website,0
2102296708,2025-11-15,2025-11-15,"Web Scraped","Main Page",NULL,5.0,Website,0
2102296709,2025-11-15,2025-11-15,"mit ocw, lobster notes web scraper",image,NULL,5.0,Note,0
2102296710,2025-11-15,2025-11-15,"mit ocw, lobster notes web scraper",image,NULL,5.0,Note,0
2102296712,2025-11-15,2025-11-15,"Web Scraped","Main Page",NULL,5.0,Website,0
2102296713,2025-11-15,2025-11-15,"Web Scraped","Main Page",NULL,5.0,Website,0
2129132951,2025-11-15,2025-11-15,"mit ocw, lobster notes web scraper",image,NULL,5.0,Pdf,0
